Bandwidth,MOS,Percentile,Hosts,Delay,Algorithms,Competition,Resolutions
10,2.45,30,1,10,conv,5,5
10,2.51,40,1,10,conv,5,5
10,2.59,50,1,10,conv,5,5
10,2.79,60,1,10,conv,5,5
10,2.86,70,1,10,conv,5,6
10,3.02,80,1,10,conv,5,6
10,3.09,90,1,10,conv,5,6
10,1.44,10,1,50,arbiter,10,1
10,1.5,20,1,50,arbiter,10,2
10,1.57,30,1,50,arbiter,10,2
10,1.65,40,1,50,arbiter,10,3
10,1.75,50,1,50,arbiter,10,3
10,1.86,60,1,50,arbiter,10,3
10,1.88,70,1,50,arbiter,10,3
10,1.9,80,1,50,arbiter,10,3
10,1.93,90,1,50,arbiter,10,4
10,1.47,10,1,100,conv,5,2
10,1.52,20,1,100,conv,5,2
10,1.6,30,1,100,conv,5,2
10,1.71,40,1,100,conv,5,3
10,1.8,50,1,100,conv,5,3
10,1.87,60,1,100,conv,5,3
10,1.95,70,1,100,conv,5,3
10,1.98,80,1,100,conv,5,3
10,2.06,90,1,100,conv,5,3
15,2.76,10,1,10,arbiter,5,4
15,2.84,20,1,10,arbiter,5,5
15,2.98,30,1,10,arbiter,5,5
15,3.13,40,1,10,arbiter,5,5
15,3.18,50,1,10,arbiter,5,6
15,3.29,60,1,10,arbiter,5,6
15,3.36,70,1,10,arbiter,5,6
15,3.42,80,1,10,arbiter,5,6
15,3.47,90,1,10,arbiter,5,7
15,1.4,10,1,50,arbiter,15,1
15,1.41,20,1,50,arbiter,15,2
15,1.43,30,1,50,arbiter,15,2
15,1.48,40,1,50,arbiter,15,3
15,1.53,50,1,50,arbiter,15,3
15,1.55,60,1,50,arbiter,15,3
15,1.65,70,1,50,arbiter,15,4
15,1.8,80,1,50,arbiter,15,4
15,1.88,90,1,50,arbiter,15,4
15,1.88,10,1,100,arbiter,5,1
15,1.88,20,1,100,arbiter,5,1
15,1.88,30,1,100,arbiter,5,1
15,1.88,40,1,100,arbiter,5,1
15,1.88,50,1,100,arbiter,5,1
15,1.88,60,1,100,arbiter,5,1
15,1.89,70,1,100,arbiter,5,1
15,1.89,80,1,100,arbiter,5,1
15,1.89,90,1,100,arbiter,5,1
15,2.05,10,1,10,conv,10,4
15,2.1,20,1,10,conv,10,4
15,2.22,30,1,10,conv,10,5
15,2.39,40,1,10,conv,10,6
15,2.51,50,1,10,conv,10,6
15,2.61,60,1,10,conv,10,6
15,2.76,70,1,10,conv,10,6
15,2.94,80,1,10,conv,10,6
15,3.04,90,1,10,conv,10,7
15,1.32,10,1,100,arbiter,10,1
15,1.41,20,1,100,arbiter,10,1
15,1.45,30,1,100,arbiter,10,1
15,1.54,40,1,100,arbiter,10,1
15,1.59,50,1,100,arbiter,10,1
15,1.72,60,1,100,arbiter,10,1
15,1.85,70,1,100,arbiter,10,1
15,1.88,80,1,100,arbiter,10,1
15,1.88,90,1,100,arbiter,10,1
15,1.5,10,1,10,arbiter,15,3
15,1.58,20,1,10,arbiter,15,3
15,1.62,30,1,10,arbiter,15,3
15,1.63,40,1,10,arbiter,15,3
15,1.65,50,1,10,arbiter,15,4
15,1.76,60,1,10,arbiter,15,4
15,1.86,70,1,10,arbiter,15,4
15,1.88,80,1,10,arbiter,15,4
15,1.95,90,1,10,arbiter,15,5
15,1.87,10,1,50,arbiter,5,3
15,1.91,20,1,50,arbiter,5,3
15,2.05,30,1,50,arbiter,5,4
15,2.12,40,1,50,arbiter,5,4
15,2.22,50,1,50,arbiter,5,4
15,2.33,60,1,50,arbiter,5,4
15,2.43,70,1,50,arbiter,5,4
15,2.7,80,1,50,arbiter,5,5
15,2.76,90,1,50,arbiter,5,6
15,1.24,10,1,100,arbiter,15,1
15,1.26,20,1,100,arbiter,15,1
15,1.28,30,1,100,arbiter,15,1
15,1.33,40,1,100,arbiter,15,1
15,1.38,50,1,100,arbiter,15,1
15,1.43,60,1,100,arbiter,15,1
15,1.5,70,1,100,arbiter,15,1
15,1.65,80,1,100,arbiter,15,1
15,1.84,90,1,100,arbiter,15,1
15,1.47,10,1,50,arbiter,10,2
15,1.49,20,1,50,arbiter,10,3
15,1.52,30,1,50,arbiter,10,3
15,1.56,40,1,50,arbiter,10,3
15,1.65,50,1,50,arbiter,10,3
15,1.78,60,1,50,arbiter,10,3
15,1.89,70,1,50,arbiter,10,4
15,1.95,80,1,50,arbiter,10,4
15,1.99,90,1,50,arbiter,10,4
15,2.24,10,1,10,conv,5,5
15,2.39,20,1,10,conv,5,6
15,2.61,30,1,10,conv,5,7
15,2.77,40,1,10,conv,5,7
15,2.82,50,1,10,conv,5,7
15,2.91,60,1,10,conv,5,7
15,3.05,70,1,10,conv,5,7
15,3.45,80,1,10,conv,5,7
15,3.79,90,1,10,conv,5,7
15,1.77,10,1,50,conv,10,3
15,1.89,20,1,50,conv,10,4
15,2.03,30,1,50,conv,10,4
15,2.21,40,1,50,conv,10,4
15,2.3,50,1,50,conv,10,4
15,2.41,60,1,50,conv,10,4
15,2.51,70,1,50,conv,10,4
15,2.6,80,1,50,conv,10,4
15,2.7,90,1,50,conv,10,5
15,2.41,10,1,50,conv,5,3
15,2.81,20,1,50,conv,5,4
15,2.99,30,1,50,conv,5,5
15,3.12,40,1,50,conv,5,5
15,3.48,50,1,50,conv,5,6
15,3.61,60,1,50,conv,5,6
15,3.65,70,1,50,conv,5,6
15,3.75,80,1,50,conv,5,6
15,3.86,90,1,50,conv,5,6
15,1.59,10,1,10,conv,15,4
15,1.63,20,1,10,conv,15,4
15,1.68,30,1,10,conv,15,4
15,1.78,40,1,10,conv,15,4
15,1.91,50,1,10,conv,15,4
15,2,60,1,10,conv,15,5
15,2.13,70,1,10,conv,15,5
15,2.24,80,1,10,conv,15,5
15,2.44,90,1,10,conv,15,6
15,1.48,10,1,50,conv,15,2
15,1.53,20,1,50,conv,15,3
